(0.9,0)
(-0.899983,-0.00552223)
(0.899729,0.022087)
(-0.898628,-0.0496758)
(0.895666,0.0882154)
(-0.889432,-0.137517)
(0.878132,0.197192)
(-0.859627,-0.266535)
(0.831491,0.344415)
(-0.791111,-0.429119)
(0.735826,0.518228)
(-0.663134,-0.608484)
(0.570955,0.695709)
(-0.457947,-0.77478)
(0.323905,0.839694)
(-0.17016,-0.883768)
(6.83106e-07,0.9)
(0.180995,-0.881613)
(-0.364719,0.822788)
(0.540554,-0.719584)
(-0.69571,0.570954)
(0.815937,-0.379799)
(-0.88675,0.153863)
(0.895108,0.0937101)
(-0.831491,-0.344417)
(0.692193,0.575212)
(-0.481497,-0.760369)
(0.213322,0.874353)
(0.0882161,-0.895666)
(-0.389783,0.811215)
(0.651823,-0.620586)
(-0.833589,0.339308)
(0.9,-2.14648e-07)
(-0.829363,-0.349509)
(0.620587,0.651822)
(-0.297998,-0.849233)
(-0.0882149,0.895666)
(0.467418,-0.769103)
(-0.760368,0.481498)
(0.89619,-0.0827203)
(-0.831492,-0.344415)
(0.566676,0.699198)
(-0.153866,-0.88675)
(-0.308393,0.845514)
(0.69571,-0.570954)
(-0.891052,0.126594)
(0.822788,0.364718)
(-0.495413,-0.751376)
(5.46108e-06,0.9)
(0.504595,-0.745241)
(-0.839694,0.323904)
(0.87167,0.224036)
(-0.570957,-0.695707)
(0.0386426,0.89917)
(0.518231,-0.735824)
(-0.862834,0.255964)
(0.831492,0.344414)
(-0.419375,-0.796319)
(-0.197197,0.87813)
(0.726166,-0.531679)
(-0.895666,-0.0882164)
(0.600305,0.670547)
(0.0220828,-0.899729)
(-0.640285,0.632483)
(0.9,4.17696e-06)
(-0.632482,-0.640286)
(-0.0220862,0.899729)
(0.670551,-0.600301)
(-0.895667,-0.0882096)
(0.531684,0.726163)
(0.197194,-0.878131)
(-0.796318,0.419377)
(0.831492,0.344413)
(-0.255962,-0.862834)
(-0.518222,0.73583)
(0.89917,-0.0386513)
(-0.570952,-0.695711)
(-0.224031,0.871671)
(0.839693,-0.323907)
(-0.745242,-0.504594)
(5.6328e-06,0.9)
(0.751377,-0.495411)
(-0.822787,-0.364721)
(0.126589,0.891053)
(0.695709,-0.570954)
(-0.845511,-0.308401)
(0.153869,0.886749)
(0.699197,-0.566677)
(-0.831489,-0.344421)
(0.0827188,0.896191)
(0.76037,-0.481496)
(-0.769101,-0.467423)
(-0.0882146,0.895666)
(0.849236,-0.29799)
(-0.620589,-0.651819)
(-0.349507,0.829364)
(0.9,6.30837e-06)
(-0.339307,-0.833589)
(-0.651825,0.620584)
(0.811212,0.389787)
(0.0882157,-0.895666)
(-0.874352,0.213327)
(0.4815,0.760367)
(0.57521,-0.692194)
(-0.831494,-0.34441)
(-0.0936978,0.895109)
(0.886751,-0.15386)
(-0.379807,-0.815933)
(-0.695711,0.570951)
(0.719577,0.540563)
(0.364706,-0.822794)
(-0.881615,-0.180982)
(-1.25346e-05,0.9)
(0.883769,-0.170156)
(-0.323909,-0.839692)
(-0.774786,0.457938)
(0.570958,0.695706)
(0.608485,-0.663133)
(-0.735822,-0.518233)
(-0.429126,0.791107)
(0.83149,0.34442)
(0.266535,-0.859627)
(-0.878134,-0.197181)
(-0.137522,0.889431)
(0.895667,0.0882036)
(0.0496718,-0.898628)
(-0.899729,-0.0220876)
(-0.00552392,0.899983)
(0.9,-6.86873e-07)
(0.0055159,-0.899983)
(-0.899729,-0.0220991)
(-0.0496752,0.898628)
(0.895665,0.0882264)
