,latency_round,latency_decoded,latency_recieved
0,1772953737,1771799554,6841375
1,1787406990,1786417029,5661455
2,1942649412,1941239622,5491191
3,1877758855,1876368616,5360874
4,1868467367,1867023033,5978780
5,1736203831,1735122830,4386938
6,1852286726,1851047398,4664142
7,1990823833,1989569949,4817117
8,1931410972,1929940863,5859774
9,1988842175,1987610119,5034871
10,2087405056,2086142675,6115856
11,1784287267,1783258178,4611017
12,1887419203,1885961652,5164814
13,1839165949,1837970345,5506676
14,5896656288,5894918029,5766708
15,6005412019,6000498124,5249444
16,6023504373,6022121063,7449609
17,5954914774,5953244497,5317712
